Date,Open,High,Low,Close,Adj Close,Volume
1/3/17,5425.620117,5452.569824,5397.990234,5429.080078,5429.080078,1886200000
1/4/17,5440.910156,5482.350098,5440.240234,5477,5477,1883360000
1/5/17,5474.390137,5495.850098,5464.359863,5487.939941,5487.939941,1792610000
1/6/17,5499.080078,5536.52002,5482.810059,5521.060059,5521.060059,1710770000
1/9/17,5527.580078,5541.080078,5517.140137,5531.819824,5531.819824,1885500000
1/10/17,5536.540039,5564.25,5528.109863,5551.819824,5551.819824,1796500000
1/11/17,5550.720215,5564.080078,5524.029785,5563.649902,5563.649902,1954720000
1/12/17,5542.560059,5550.669922,5496.819824,5547.490234,5547.490234,1801750000
1/13/17,5557.569824,5584.259766,5557.200195,5574.120117,5574.120117,1605110000
1/17/17,5555.160156,5557.049805,5527.220215,5538.72998,5538.72998,1757030000
1/18/17,5546.939941,5555.97998,5534.77002,5555.649902,5555.649902,1683320000
1/19/17,5560.609863,5571.529785,5528.370117,5540.080078,5540.080078,1805710000
1/20/17,5556.870117,5574.350098,5542.22998,5555.330078,5555.330078,1740320000
1/23/17,5546.640137,5564.140137,5522.689941,5552.939941,5552.939941,1650290000
1/24/17,5568.27002,5606.529785,5558.490234,5600.959961,5600.959961,1805370000
1/25/17,5635.859863,5658.589844,5634.330078,5656.339844,5656.339844,1959950000
1/26/17,5666.279785,5669.609863,5647.649902,5655.180176,5655.180176,1827490000
1/27/17,5664.879883,5667.450195,5643.899902,5660.779785,5660.779785,1663400000
1/30/17,5635.859863,5636.089844,5578.759766,5613.709961,5613.709961,1777090000
1/31/17,5592.870117,5615.149902,5576.089844,5614.790039,5614.790039,2041480000
2/1/17,5654.509766,5662.109863,5621.029785,5642.649902,5642.649902,2223560000
2/2/17,5627.149902,5656.009766,5616.399902,5636.200195,5636.200195,2073980000
2/3/17,5650.72998,5666.839844,5647.580078,5666.77002,5666.77002,1786860000
2/6/17,5656.950195,5668.200195,5650.259766,5663.549805,5663.549805,1732280000
2/7/17,5674.859863,5689.600098,5664.819824,5674.220215,5674.220215,1919100000
2/8/17,5662.950195,5686.959961,5649.390137,5682.450195,5682.450195,1945060000
2/9/17,5688.02002,5722.709961,5685.149902,5715.180176,5715.180176,1943840000
2/10/17,5726.169922,5743.430176,5717.419922,5734.129883,5734.129883,1852010000
2/13/17,5753.189941,5770.990234,5751.919922,5763.959961,5763.959961,1840010000
2/14/17,5756.509766,5783.089844,5748.740234,5782.569824,5782.569824,1945160000
2/15/17,5777.899902,5821.950195,5776.700195,5819.439941,5819.439941,2083660000
2/16/17,5823.009766,5835.149902,5796.709961,5814.899902,5814.899902,1943600000
2/17/17,5807.310059,5838.580078,5800.799805,5838.580078,5838.580078,1875580000
2/21/17,5850.200195,5867.890137,5847.5,5865.950195,5865.950195,1935110000
2/22/17,5857.560059,5864.419922,5848.279785,5860.629883,5860.629883,1872330000
2/23/17,5866.819824,5866.959961,5809.549805,5835.509766,5835.509766,1879670000
2/24/17,5802.330078,5845.310059,5800.549805,5845.310059,5845.310059,1683280000
2/27/17,5835.040039,5861.899902,5827,5861.899902,5861.899902,1876090000
2/28/17,5852.790039,5855.069824,5817.220215,5825.439941,5825.439941,2298380000
3/1/17,5874.859863,5911.790039,5865.790039,5904.029785,5904.029785,2210360000
3/2/17,5897.009766,5897.009766,5856.299805,5861.220215,5861.220215,2040770000
3/3/17,5854.27002,5870.75,5841.470215,5870.75,5870.75,1852130000
3/6/17,5846.419922,5857.740234,5827.459961,5849.180176,5849.180176,1767840000
3/7/17,5836.120117,5859.77002,5826.319824,5833.930176,5833.930176,1822000000
3/8/17,5838.439941,5860.629883,5832.629883,5837.549805,5837.549805,1810480000
3/9/17,5834.669922,5852.540039,5812.080078,5838.810059,5838.810059,1883930000
3/10/17,5867.160156,5872.600098,5835.439941,5861.72998,5861.72998,1982150000
3/13/17,5863.47998,5877.430176,5860.830078,5875.779785,5875.779785,1799340000
3/14/17,5860.069824,5860.5,5831.879883,5856.819824,5856.819824,1663170000
3/15/17,5869.97998,5911.200195,5858.160156,5900.049805,5900.049805,1952690000
3/16/17,5907.859863,5911.47998,5887.240234,5900.759766,5900.759766,1766980000
3/17/17,5898.580078,5912.609863,5890.419922,5901,5901,3184130000
3/20/17,5898.810059,5915.120117,5888.120117,5901.529785,5901.529785,1730550000
3/21/17,5923.419922,5928.060059,5790.72998,5793.830078,5793.830078,2192090000
3/22/17,5790.589844,5825.669922,5781.799805,5821.640137,5821.640137,1857680000
3/23/17,5812.310059,5842.819824,5806.97998,5817.689941,5817.689941,1742640000
3/24/17,5839.330078,5858.950195,5807.830078,5828.740234,5828.740234,1841920000
3/27/17,5776.330078,5849.200195,5769.390137,5840.370117,5840.370117,1670760000
3/28/17,5836.5,5888.700195,5828.859863,5875.140137,5875.140137,1820860000
3/29/17,5875.350098,5900.870117,5870.930176,5897.549805,5897.549805,1718680000
3/30/17,5896.149902,5916.77002,5894,5914.339844,5914.339844,1723770000
3/31/17,5905.629883,5927.810059,5901.77002,5911.740234,5911.740234,1902800000
4/3/17,5917.319824,5928.930176,5867.72998,5894.680176,5894.680176,1854200000
4/4/17,5878.759766,5901.390137,5878.759766,5898.609863,5898.609863,1790840000
4/5/17,5911.919922,5936.390137,5856.259766,5864.47998,5864.47998,2204490000
4/6/17,5870.52002,5889.580078,5856.220215,5878.950195,5878.950195,1845800000
4/7/17,5873.939941,5892.069824,5855.509766,5877.810059,5877.810059,1692150000
