date,close,volume,open,high,low
1/22/18,261.98,3340954,259.7,262.01,259.63
1/19/18,260.54,4055112,260.05,260.55,259.27
1/18/18,260.16,4848815,261.24,261.32,259.38
1/17/18,261.08,6128041,259.26,261.19,258.5425
1/16/18,257.81,8074372,260.27,260.7499,256.91
1/12/18,257.91,3667356,256.63,257.97,256.48
1/11/18,255.61,2757881,254,255.67,253.85
1/10/18,253.62,2343245,253.17,253.9311,252.45
1/9/18,253.82,5016636,253.2,254.29,252.724
1/8/18,252.59,3847213,252.75,252.97,252.22
1/5/18,252.72,3346558,251.38,252.85,250.97
1/4/18,250.6,4927260,249.96,250.92,249.62
1/3/18,248.95,5526813,248.32,249.22,248.07
1/2/18,248.02,4454610,248.34,248.47,247.2256
12/29/17,247.38,2950506,248.57,248.61,247.17
12/28/17,248.13,2743029,247.94,248.19,247.77
12/27/17,247.48,2930353,247.15,247.686,247.1
12/26/17,247.25,2155615,246.94,247.585,246.88
12/22/17,247.4,1846186,247.58,247.61,246.97
12/21/17,247.66,2445754,247.73,248.29,247.4201
12/20/17,247.07,2399073,248.33,248.3989,246.76
12/19/17,247.4,2612094,248.31,248.34,246.94
12/18/17,247.79,3280621,248.01,248.541,247.5299
12/15/17,246.25,5861553,246.21,246.7,245.82
12/14/17,245.57,4711868,246.89,247.0699,245.47
12/13/17,246.3,3748087,245.69,246.99,245.65
12/12/17,245.44,3275722,244.93,245.87,244.8
12/11/17,244.17,1856372,243.77,244.236,243.5
12/8/17,243.62,2703704,243.19,243.63,242.58
12/7/17,242.36,2712632,241.21,242.87,241.101
12/6/17,241.62,3975158,241.72,242.5127,241.55
12/5/17,242.01,4916736,243.78,243.79,241.77
12/4/17,243.11,6542257,245.01,245.57,243.07
12/1/17,242.45,9763463,243.14,243.435,239.41
11/30/17,242.84,6574845,240.68,243.49,240.41
11/29/17,239.42,3368246,239.15,239.65,238.77
11/28/17,238.34,4822680,236.32,238.44,236.23
11/27/17,235.73,2323825,235.5,236.33,235.39
11/24/17,235.47,1435533,235.56,235.87,235.41
11/22/17,235.17,2859413,236.06,236.06,234.95
11/21/17,235.73,2748988,235.17,235.99,235.1
11/20/17,234.15,2054010,233.66,234.37,233.42
11/17/17,233.39,3483148,233.77,233.97,233.36
11/16/17,234.91,2919682,234.22,235.2759,234.19
11/15/17,232.96,2818858,233.16,233.67,232.65
11/14/17,234.28,2546420,233.97,234.35,232.91
11/13/17,234.66,2439624,233.66,234.7801,233.63
11/10/17,234.43,2507020,234.45,234.67,234.1001
11/9/17,234.72,4218965,234.49,235.28,233.16
11/8/17,235.46,1527871,235.37,235.61,234.97
11/7/17,235.42,2383187,235.7,235.88,234.69
11/6/17,235.41,2548520,235.23,235.59,235.09
11/3/17,235.18,2572272,235.36,235.39,234.64
11/2/17,234.96,2457017,234.21,235.17,233.32
11/1/17,234.19,2673281,234.6,235.02,233.73
10/31/17,233.63,1771626,233.64,233.91,233.2
10/30/17,233.33,2670412,233.52,234.14,233.15
10/27/17,234.17,2943465,233.95,234.33,233.36
10/26/17,233.85,2573587,233.91,234.42,233.75
10/25/17,233.16,3807283,234.45,234.45,232.35
10/24/17,234.29,3294873,234.11,234.7,233.96
10/23/17,232.65,2316994,233.58,233.58,232.6099
10/20/17,233.13,3272117,232.47,233.13,231.8899
10/19/17,231.65,2269835,230.84,231.66,230.52
10/18/17,231.46,2751751,231,231.68,230.91
10/17/17,229.85,1833200,229.71,229.9599,229.52
10/16/17,229.45,2371680,229.07,229.53,228.81
10/13/17,228.73,1743401,228.71,228.97,228.51
10/12/17,228.33,1300710,228.49,228.81,228.15
10/11/17,228.61,1419519,228.32,228.64,228.17
10/10/17,228.26,1415307,228.21,228.43,227.64
10/9/17,227.53,1004785,227.89,227.96,227.3399
10/6/17,227.55,2089398,227.34,227.63,227.23
10/5/17,227.64,2218058,226.61,227.66,226.4472
